Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
Gambia,78.4424336362,49.581890947217,4.941745256486,22.2129463197133,6.0042075182,2.8488747967,8.12464639006955,3.78522695550684,868,59,207,0,135,4,16,13537.0,2085860.0,-0.9464391188425805,-0.03735668834348615
Georgia,148.674569866,162.97415633914,24.0935226252269,60.598741122098,39.1752302597,11.74496825998,17.2668923669061,9.57925561000467,8510,1728,1005,3,122,69,32,50317.0,3725276.0,-0.883482342127711,-0.04257299453053884
Germany,3545.201423702,3151.80778626518,826.712370753202,1433.61673578196,1097.20977589941,485.841778835263,229.564620970576,130.158625095308,256740,52664,38607,545,1156,3112,289,930861.0,81686611.0,1.3120388049040845,-0.2794126842952642
Ghana,1723.80108347,625.6906131929,80.80134980914,498.81854189977,121.87286586542,48.98084199844,161.366575853814,67.2860771102639,15909,1206,3046,3,2137,108,375,202411.0,27849205.0,-0.5067120239192571,0.17890343391563016
Greece,430.478871972775,477.26265925254,80.0521489768261,131.783322413525,224.973881453214,249.049042387699,39.3227409029958,29.391657248191,32740,8469,5336,3,59,376,10,114736.0,10820883.0,-0.6774441161637893,-0.10546532463036966
Greenland,3.29697038642,0.76697759992,0.0425287918819,0.76547164742337,3.36405290765,3.51841725076693,0.157902451273188,0.147331895221533,144,49,25,0,1,2,0,437.0,56114.0,-0.9705507358906016,-0.05003109893103128
Grenada,26.0341407044,1.174242623469,0.228298983961,4.60750385110002,4.950717856627,2.51350788779,0.375106856609503,0.244988099657408,166,14,12,0,2,1,1,1082.0,109599.0,-0.9691675822295696,-0.04969313024886057
Guam,0.024585396,2.87469033921,0.12628972624,1.09837139553055,0.00692740025,0.0001388466,0.016381856798068,0.0041216792468963,185,53,33,0,6,5,1,1199.0,161853.0,-0.9703236085559804,-0.04846385649556203
Guatemala,2049.598534962,458.04174667454,125.78276993203,367.53187833951,118.44236117021,87.490324535492,219.874169931194,119.42930111524,11176,784,1542,0,307,210,82,81514.0,15567419.0,-0.6365143430150266,-0.02529471799438244
Guinea,1080.988159396,568.31723959889,65.17955268353,241.954673138129,39.4155928389,17.787164418,162.448081906411,75.8800942985082,8125,543,1495,4,1199,31,128,113192.0,11432088.0,-0.7099554273944703,0.03360536365330975
Guinea-Bissau,227.2554233073,72.451905806977,14.251645911949,48.687211293258,6.9988318487,3.1854336143,35.3398675649239,15.7725982692238,897,83,186,0,162,3,20,15881.0,1737202.0,-0.9271946931807902,-0.03853157533263754
Guyana,74.0692608824,68.188036772279,9.431429199655,17.252570488359,24.51079599755,15.5088007249,9.01323613894048,5.85990503693112,720,49,72,0,29,7,3,5583.0,767432.0,-0.9503455672427392,-0.05104006498354008
Haiti,1500.8426058,347.028297422,61.556750888,383.25967849527,56.45200078,22.061785123,147.90744985881,58.0799323775172,9482,708,1877,10,1112,122,161,88374.0,10695542.0,-0.6933536769085723,0.04248151329237132
Honduras,1415.859448567,281.907387242,50.09698632566,264.332935980144,162.6538184397,89.518345677,85.9213474787755,48.247294391459,6840,1194,2658,13,368,204,72,47411.0,9112916.0,-0.7480731545413865,-0.024953015803536267
Hungary,601.14322799679,434.174565081872,108.608488515385,152.873281416522,121.208591537949,95.607179630994,80.4761606282236,44.9052347327196,34313,9179,5660,39,116,175,45,130574.0,9843028.0,-0.660063981617646,-0.1140606571089104
Iceland,110.47870637397,20.869637080468,4.1634310331927,2.947322787502,5.394829384688,9.58412560929425,2.68968790979741,1.71181307921883,600,135,87,0,2,7,0,2101.0,330815.0,-0.9619267127679481,-0.05142901512634946
India,73194.5488156721,33339.3483322979,5795.36696109442,13455.093012442,10419.7841555668,11479.8026649333,9644.9379841835,6154.20509683684,799183,74116,811640,2767,192644,48097,10261,9663044.0,1310152403.0,27.051494737624694,15.284810211558812
Indonesia,31910.279235764,13467.98643511,1680.77275576365,5614.59897172851,2398.796741116,2373.46868590602,2497.37735241253,1550.37263224035,202427,42477,67378,48,26629,1426,1076,1604088.0,258383256.0,4.879234366887523,0.5751061871486982
Iran (Islamic Republic of),10140.2302868491,6583.8102577209,447.889806867011,3407.38095726649,2408.0446629337,1151.20499926087,175.333909930401,100.511612465773,59119,7651,11531,67,3550,329,226,378691.0,78492215.0,0.9349336543872113,-0.31238103089482816
Iraq,2443.109774078,2826.0469098467,71.9836616736,1096.20775376705,867.97967648107,1446.00114422513,38.6905004522959,27.808974007497,20689,3458,1398,23,1072,142,209,143163.0,35572261.0,-0.19233935054325974,-0.1561923597853848
Ireland,122.821796356222,716.029149468064,180.18825495559,77.0220002200824,78.4536635082294,44.3367957866771,20.1131992230942,13.388996401091,9427,2017,1980,4,51,277,21,29761.0,4701957.0,-0.7949034088659416,-0.042777140647381584
Israel,125.907994972667,410.36694085636,26.518617603377,131.633298015027,229.5665713008,55.2220630946,38.897364369534,21.1018237021347,13060,2315,1550,2,127,133,23,44215.0,8380100.0,-0.8167966856088889,-0.0653370792395495
Italy,2223.64921556781,1639.08372263801,539.739488496482,885.055645237884,792.05304612322,242.208024780381,212.905881725337,140.456804077776,184172,37118,26192,470,501,2019,211,629407.0,60730582.0,0.6128766943214041,-0.254778846792039
Jamaica,685.11291205,97.8908834678,12.44423729958,139.21381511316,64.17906004416,66.95683941912,23.786597169791,10.9208503673866,4025,537,496,0,73,22,13,19773.0,2891021.0,-0.8910476758014219,-0.06105562765738241
Japan,5851.75324150141,2095.31519187877,291.079721616234,1901.20644153869,2211.16982927236,1112.83077837175,281.563751043694,186.339753525305,416109,82716,33802,1082,1982,12946,480,1298344.0,127141000.0,2.5742691163748317,0.4820466432109523
Jordan,77.692147384,230.7406454134,10.63017037772,99.15672436071,104.50045332505,160.21635102235,8.42894953795888,5.50211697539829,4225,696,401,0,111,113,3,24738.0,9266575.0,-0.8780496393813602,-0.0532694147378889
Kazakhstan,1654.41831893171,3429.54682459558,144.526887167113,587.716604373932,720.702427278,1556.486926707,139.922296271237,115.055572703014,20053,3523,7010,77,1207,156,192,131740.0,17542806.0,-0.1794329296618843,-0.17143050236784388
Kenya,4593.14173649,2133.8875442535,306.82526974886,1292.79868163853,178.2003947356,68.4708836,616.196066711528,229.714821109904,19921,1070,4543,43,2116,183,174,292130.0,47878336.0,-0.07279937593819212,0.021014555114907758
Kiribati,0.35796558569,1.3748341594724,0.27258541690521,0.5114372067418,0.30235478962,0.1766676393368,0.0579713442944,0.02784192935322,116,11,26,0,39,0,3,1002.0,110930.0,-0.9700821220195498,-0.046653897787080616
Kuwait,165.511643394,1276.075326917,14.20550371565,495.31117954128,192.37004950175,640.7508820201,13.9706337563292,8.63282363390706,1251,172,114,0,25,34,2,6992.0,3835591.0,-0.7586350315279049,-0.1392762019792124
Kyrgyzstan,125.360772427,282.8974073787,36.939246734168,140.754763743494,37.13473616405,54.94490851782,13.0539879804617,10.3427277389869,3941,511,1387,0,58,11,8,34901.0,5956900.0,-0.8844705864416209,-0.056998844312861695
Lao People's Democratic Republic,606.1134034049,407.00021724427,70.562868161708,107.177614843723,28.76933525845,19.926947978,82.7652983721268,55.7525171372207,4355,845,1608,1,823,30,28,45951.0,6741164.0,-0.8190952012646504,-0.020316863057226613
Latvia,173.4518106961,97.7610642460679,28.693090646164,46.2446659497946,32.00485888772,5.96296691804824,26.2673396263449,16.1012916518132,5797,1002,378,0,39,17,4,28185.0,1977527.0,-0.9123785265498281,-0.05916090356621014
Lebanon,192.2794984484,125.17906415301,17.441211628456,103.79676746613,142.675276803782,208.300565654081,14.8895242451417,7.76019657147628,7003,1378,814,1,284,40,8,31589.0,6532678.0,-0.8620262103749211,-0.06756450937468701
